searchText|country
Heiterblickallee 52, 04329 Leipzig|DEU
Heiterblickallee 81, 04329 Leipzig|DEU
Klettenstraße 2, 04329 Leipzig|DEU
Kreuzdornstraße, 04329 Leipzig|DEU
Platanenstraße 51, 04329 Leipzig|DEU
Südblick 8, 04329 Leipzig|DEU
Schlehenweg, 04329 Leipzig|DEU
Dachsstraße, 04329 Leipzig|DEU
Paunsdorfer Allee, 04329 Leipzig|DEU
Am Gutspark, 04316 Leipzig|DEU
Engelsdorfer Straße, 04316 Leipzig|DEU
Mühlweg, 04316 Leipzig|DEU
Willmar-Schwabe-Ring, 04316 Leipzig|DEU
Achatstraße, 04319 Leipzig|DEU
Arnoldplatz, 04319 Leipzig|DEU
Hans-Weigel-Straße, 04319 Leipzig|DEU
Harpstedter Straße 8, 04319 Leipzig|DEU
Reichsbahnerstraße "5/7", 04319 Leipzig|DEU
Schulweg 4, 04319 Leipzig|DEU
Topasstraße 48, 04319 Leipzig|DEU
Topasstraße 57, 04319 Leipzig|DEU
Wasserturmstraße, 04319 Leipzig|DEU
Werkstättenstraße 4, 04319 Leipzig|DEU
Wiesenweg, 04319 Leipzig|DEU
Gottfried-Jähnichen-Weg, 04316 Leipzig|DEU
Althener Anger, 04319 Leipzig|DEU
Am Wiesenblick, 04319 Leipzig|DEU
Dorfstraße, 04319 Leipzig|DEU
Hersvelder Straße, 04319 Leipzig|DEU
Breitkopfstraße, 04317 Leipzig|DEU
Breitkopfstraße, 04317 Leipzig|DEU
Dresdner Straße, 04317 Leipzig|DEU
Eilenburger Straße, 04317 Leipzig|DEU
Hofer Straße, 04317 Leipzig|DEU
Hofer Straße 46, 04317 Leipzig|DEU
Holsteinstraße 32, 04317 Leipzig|DEU
Holsteinstraße 62, 04317 Leipzig|DEU
Karl-Siegismund-Straße, 04317 Leipzig|DEU
Kippenbergstraße, 04317 Leipzig|DEU
Kurt-Günther-Straße 1, 04317 Leipzig|DEU
Mühlstraße, 04317 Leipzig|DEU
Oststraße 101, 04317 Leipzig|DEU
Gletschersteinstraße, 04299 Leipzig|DEU
Holzhäuser Straße, 04299 Leipzig|DEU
Holzhäuser Straße, 04299 Leipzig|DEU
Kolmstraße 63, 04299 Leipzig|DEU
Lange Reihe 1, 04299 Leipzig|DEU
Naunhofer Straße, 04299 Leipzig|DEU
Oststraße, 04299 Leipzig|DEU
An der Tabaksmühle, 04289 Leipzig|DEU
Augustinerstraße 8, 04289 Leipzig|DEU
Bockstraße 3, 04289 Leipzig|DEU
Höltystraße, 04289 Leipzig|DEU
Lene-Voigt-Straße 2, 04289 Leipzig|DEU
Strümpellstraße, 04289 Leipzig|DEU
Tirolerweg 6, 04289 Leipzig|DEU
Trendelenburgstraße 8, 04289 Leipzig|DEU
Cervantesweg, 04289 Leipzig|DEU
An der Eisenbahn, 04288 Leipzig|DEU
Carl-Munde-Straße 8, 04288 Leipzig|DEU
Güldengossaer Straße, 04288 Leipzig|DEU
Großpösnaer Straße 30, 04288 Leipzig|DEU
Prager Straße, 04288 Leipzig|DEU
Wiesengrund 30, 04288 Leipzig|DEU
Emil-Altner-Weg, 04288 Leipzig|DEU
Hinter dem Zuckelhausener Ring, 04288 Leipzig|DEU
Liebertwolkwitzer Straße 39, 04288 Leipzig|DEU
Walter-Heise-Straße, 04288 Leipzig|DEU
Bernhard-Göring-Straße 43, 04275 Leipzig|DEU
Fockestraße 12, 04275 Leipzig|DEU
Karl-Liebknecht-Straße, 04275 Leipzig|DEU
Kohlenstraße, 04275 Leipzig|DEU
Arno-Nitzsche-Straße, 04277 Leipzig|DEU
Arno-Nitzsche-Straße, 04277 Leipzig|DEU
Bärlauchweg 25, 04277 Leipzig|DEU
Bornaische Straße 2, 04277 Leipzig|DEU
Brandstraße 40, 04277 Leipzig|DEU
